Structure Acceleration, RAO-Based Response,,
Line A: Structure Acceleration, RAO-Based Response - Global RX (Trimaran) [?s²],,
Line B: Structure Acceleration, RAO-Based Response - Global RY (Trimaran) [?s²],,
Line C: Structure Acceleration, RAO-Based Response - Global RZ (Trimaran) [?s²],,
,,,
*Time (s),Line A (?s?,Line B (?s?,Line C (?s?
100.078,-7.25E-02,2.12490201,6.99E-02
100.07899,-7.25E-02,2.121660948,0.069851242
100.07999,-7.24E-02,2.11841011,6.98E-02
100.08099,-7.24E-02,2.115177155,6.97E-02
100.082,-7.23E-02,2.111885071,6.96E-02
100.083,-7.22E-02,2.108635664,6.95E-02
100.084,-7.22E-02,2.105353355,6.94E-02
100.085,-7.21E-02,2.102087259,6.93E-02
100.086,-7.21E-02,2.098788977,6.92E-02
100.087,-7.20E-02,2.095482111,6.91E-02
100.088,-7.19E-02,2.092191696,6.90E-02
100.089,-7.19E-02,2.088867664,6.89E-02
100.09,-7.18E-02,2.085536242,6.88E-02
100.091,-0.071768157,2.082196474,6.87E-02
100.092,-7.17E-02,2.078875542,6.86E-02
100.09299,-7.16E-02,2.075494051,6.85E-02
100.09399,-7.16E-02,2.072155952,6.84E-02
100.09499,-7.15E-02,2.068784475,6.83E-02
100.096,-7.15E-02,2.065377951,6.82E-02
100.097,-7.14E-02,2.061990261,6.81E-02
100.098,-7.13E-02,2.058595657,0.068034291
100.099,-0.071280837,2.055217743,6.79E-02
100.1,-7.12E-02,2.05177927,6.78E-02
100.101,-7.12E-02,2.048385859,6.77E-02
100.102,-7.11E-02,2.04493165,6.76E-02
100.103,-7.10E-02,2.041523933,6.75E-02
100.104,-7.10E-02,2.038053274,6.74E-02
100.105,-7.09E-02,2.034601688,6.73E-02
100.106,-7.08E-02,2.031143188,6.72E-02
100.10699,-7.08E-02,2.027676105,6.71E-02
100.10799,-7.07E-02,2.024172783,6.70E-02
100.10899,-7.06E-02,2.020718336,6.69E-02
100.11,-7.06E-02,2.017172813,0.066838339
100.111,-7.05E-02,2.013674974,6.67E-02
100.112,-7.04E-02,2.010168552,0.066635936
100.113,-7.04E-02,2.006628513,6.65E-02
100.114,-7.03E-02,2.00313282,6.64E-02
100.115,-7.02E-02,1.999575496,6.63E-02
100.116,-7.02E-02,1.996037841,0.066227451
100.117,-7.01E-02,1.992464781,6.61E-02
100.118,-7.00E-02,1.988912702,6.60E-02
100.119,-7.00E-02,1.98532474,6.59E-02
100.12,-0.069908544,1.98175633,6.58E-02
100.12099,-6.98E-02,1.978152633,6.57E-02
100.12199,-0.069770873,1.974567533,6.56E-02
100.12299,-6.97E-02,1.970948815,0.065501794
100.124,-0.06963139,1.967322946,6.54E-02
100.125,-6.96E-02,1.963715672,6.53E-02
100.126,-6.95E-02,1.960073948,0.065187082
100.127,-6.94E-02,1.956451535,6.51E-02
100.128,-6.94E-02,1.952793598,6.50E-02
100.129,-6.93E-02,1.949130058,6.49E-02
100.13,-6.92E-02,1.945457697,6.48E-02
100.131,-6.91E-02,1.941804409,6.47E-02
100.132,-6.91E-02,1.938116312,6.46E-02
100.133,-6.90E-02,1.934420824,6.44E-02
100.134,-6.89E-02,1.930717587,6.43E-02
100.13499,-6.88E-02,1.927034855,6.42E-02
100.13599,-6.88E-02,1.923287988,6.41E-02
100.13699,-6.87E-02,1.919589043,6.40E-02
100.138,-6.86E-02,1.915856719,6.39E-02
100.139,-6.86E-02,1.912086487,6.38E-02
100.14,-6.85E-02,1.908367038,6.37E-02
100.141,-6.84E-02,1.904580593,6.36E-02
100.142,-6.83E-02,1.900845766,0.063471831
100.143,-6.83E-02,1.89704597,6.34E-02
100.144,-6.82E-02,1.893295646,6.33E-02
100.145,-6.81E-02,1.889480948,6.31E-02
100.146,-6.80E-02,1.885717034,0.063033402
100.147,-6.79E-02,1.881887436,6.29E-02
100.14799,-6.79E-02,1.878077745,0.062811978
100.14899,-6.78E-02,1.874261618,6.27E-02
100.14999,-6.77E-02,1.870439172,0.062590517
100.15099,-6.76E-02,1.866608739,6.25E-02
100.152,-0.067558616,1.862740278,6.24E-02
100.153,-6.75E-02,1.858896136,6.23E-02
100.154,-6.74E-02,1.85501349,6.21E-02
100.155,-6.73E-02,1.851153135,6.20E-02
100.156,-6.72E-02,1.847287059,0.061919242
100.157,-6.72E-02,1.843412161,0.061806895
100.158,-6.71E-02,1.839501023,6.17E-02
100.159,-6.70E-02,1.835610747,6.16E-02
100.16,-6.69E-02,1.831684709,6.15E-02
100.161,-6.68E-02,1.82778132,0.061353575
100.16199,-6.68E-02,1.823841333,6.12E-02
100.16299,-6.67E-02,1.819924235,6.11E-02
100.16399,-6.66E-02,1.8160007,6.10E-02
100.16499,-6.65E-02,1.812036395,6.09E-02
100.166,-6.64E-02,1.808068275,6.08E-02
100.167,-6.64E-02,1.804090381,6.07E-02
100.168,-6.63E-02,1.800137162,6.06E-02
100.169,-6.62E-02,1.79614532,0.060435988
100.17,-6.61E-02,1.792178035,6.03E-02
100.171,-6.60E-02,1.788172245,6.02E-02
100.172,-6.59E-02,1.784160852,6.01E-02
100.173,-6.58E-02,1.780139923,6.00E-02
100.174,-6.58E-02,1.776144981,5.99E-02
100.175,-6.57E-02,1.772142053,5.97E-02
100.17599,-6.56E-02,1.76806891,5.96E-02
100.17699,-6.55E-02,1.764052033,5.95E-02
100.17799,-6.54E-02,1.759997129,5.94E-02
100.17899,-6.53E-02,1.755933523,0.059269555
100.18,-6.52E-02,1.751834869,5.92E-02
100.181,-6.52E-02,1.747758508,5.90E-02
100.182,-6.51E-02,1.743675947,5.89E-02
100.183,-6.50E-02,1.739616752,5.88E-02
100.184,-6.49E-02,1.735487461,5.87E-02
100.185,-6.48E-02,1.731415749,5.86E-02
100.186,-6.47E-02,1.727272391,0.058438204
100.187,-0.064636119,1.72315526,5.83E-02
100.188,-6.45E-02,1.719063163,5.82E-02
100.189,-6.45E-02,1.714900494,5.81E-02
100.18999,-6.44E-02,1.710793138,5.80E-02
100.19099,-6.43E-02,1.706617355,5.78E-02
100.19199,-6.42E-02,1.702466607,5.77E-02
100.19299,-6.41E-02,1.698275685,5.76E-02
100.194,-6.40E-02,1.694110036,5.75E-02
100.195,-6.39E-02,1.689904928,0.057354599
100.196,-6.38E-02,1.685725689,5.72E-02
100.197,-6.37E-02,1.681509376,5.71E-02
100.198,-6.36E-02,1.677349448,5.70E-02
100.199,-6.36E-02,1.67311728,5.69E-02
100.2,-6.35E-02,1.668911099,5.67E-02
100.201,-6.34E-02,1.664700508,0.056623962
100.202,-6.33E-02,1.660449505,5.65E-02
100.203,-6.32E-02,1.656223178,5.64E-02
100.20399,-6.31E-02,1.651957631,5.63E-02
100.20499,-6.30E-02,1.647718787,5.61E-02
100.20599,-6.29E-02,1.643440485,5.60E-02
100.207,-6.28E-02,1.639154911,5.59E-02
100.208,-6.27E-02,1.63486433,5.58E-02
100.209,-0.062619112,1.630599976,0.055635966
100.21,-0.062523752,1.626294732,5.55E-02
100.211,-6.24E-02,1.621983409,5.54E-02
100.212,-6.23E-02,1.617665887,5.53E-02
100.213,-6.22E-02,1.613374114,5.51E-02
100.214,-6.21E-02,1.609075069,5.50E-02
100.215,-6.20E-02,1.604738832,0.054887168
100.216,-6.19E-02,1.600394845,5.48E-02
100.217,-6.19E-02,1.596045613,5.46E-02
100.21799,-6.18E-02,1.591721058,5.45E-02
100.21899,-6.17E-02,1.587328196,5.44E-02
100.21999,-6.16E-02,1.582991838,5.43E-02
100.221,-6.15E-02,1.578581691,5.41E-02
100.222,-6.14E-02,1.574200034,5.40E-02
100.223,-6.13E-02,1.569811106,5.39E-02
100.224,-6.12E-02,1.565416336,5.37E-02
100.225,-6.11E-02,1.561047912,0.053623341
100.226,-6.10E-02,1.556606889,5.35E-02
100.227,-0.060873307,1.552225351,5.34E-02
100.228,-6.08E-02,1.547771692,5.32E-02
100.229,-6.07E-02,1.543344498,5.31E-02
100.23,-6.06E-02,1.538912296,5.30E-02
