Structure Acceleration, RAO-Based Response,,
Line A: Structure Acceleration, RAO-Based Response - Global RZ (Trimaran) [?s²],,
Line B: Structure Acceleration, RAO-Based Response - Global Y (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²],,
Line C: Structure Acceleration, RAO-Based Response - Global X (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²],,
,,,
*Time (s),Line A (?s?,Line B (mm/s?,Line C (mm/s?
103.387,3.07E-02,2.29E-02,-2.490865067
103.388,0.030726196,2.37E-02,-2.488555154
103.389,3.07E-02,2.45E-02,-2.486246638
103.39,0.030749986,2.53E-02,-2.483898075
103.391,3.08E-02,2.60E-02,-2.481588628
103.392,3.08E-02,0.026769038,-2.479224466
103.393,3.08E-02,2.75E-02,-2.476871479
103.394,3.08E-02,2.82E-02,-2.474501729
103.395,3.08E-02,2.90E-02,-2.472121036
103.396,3.08E-02,2.97E-02,-2.46973522
103.397,3.08E-02,0.030464718,-2.467330778
103.39799,3.08E-02,3.13E-02,-2.464929363
103.399,3.08E-02,3.21E-02,-2.462510252
103.4,3.09E-02,3.30E-02,-2.460092073
103.401,3.09E-02,3.40E-02,-2.457676921
103.402,3.09E-02,3.51E-02,-2.455258742
103.403,3.09E-02,3.64E-02,-2.45282799
103.404,3.09E-02,0.037790469,-2.450402128
103.405,3.09E-02,3.94E-02,-2.447975799
103.406,3.09E-02,4.13E-02,-2.445568098
103.407,0.030949755,4.34E-02,-2.44313851
103.408,3.10E-02,4.59E-02,-2.440740354
103.409,3.10E-02,4.87E-02,-2.438325202
103.41,3.10E-02,5.20E-02,-2.435931005
103.411,3.10E-02,0.055794164,-2.433539834
103.41199,3.11E-02,6.02E-02,-2.431152156
103.413,3.11E-02,6.52E-02,-2.428714652
103.414,3.11E-02,7.10E-02,-2.426307648
103.415,3.12E-02,7.78E-02,-2.423541853
103.416,3.12E-02,8.56E-02,-2.420331817
103.417,3.12E-02,9.48E-02,-2.416982315
103.418,3.13E-02,0.105675594,-2.413501265
103.419,3.13E-02,0.118720462,-2.409819746
103.42,3.14E-02,0.134655245,-2.405880718
103.421,3.14E-02,0.154626672,-2.401550766
103.422,3.15E-02,0.180537696,-2.396586817
103.423,3.15E-02,0.215846318,-2.390506444
103.424,3.16E-02,0.267541065,-2.382091479
103.425,3.16E-02,0.352233794,-2.367909765
103.42599,3.16E-02,0.521339476,-2.333378652
103.427,3.17E-02,1.039393479,-2.149912296
103.428,3.17E-02,1.929929364,1.402071211
103.429,3.16E-02,0.493030006,2.332050353
103.43,3.15E-02,0.187724916,2.374725416
103.431,0.031400628,6.47E-02,2.379878657
103.432,3.13E-02,-2.76E-04,2.379342914
103.433,0.031210683,-3.96E-02,2.376756631
103.434,3.11E-02,-6.52E-02,2.372351242
103.435,3.10E-02,-8.24E-02,2.368099755
103.436,3.10E-02,-9.41E-02,2.364077838
103.437,3.09E-02,-0.101744081,2.36033136
103.438,3.09E-02,-0.106453321,2.356834477
103.439,3.09E-02,-0.108845845,2.353605116
103.43999,3.08E-02,-0.109369343,2.350617899
103.441,0.030849714,-0.108338689,2.347883536
103.442,0.030867126,-0.105985746,2.345365472
103.443,3.09E-02,-0.102477003,2.34307046
103.444,3.09E-02,-9.79E-02,2.340988023
103.445,3.10E-02,-9.25E-02,2.339092083
103.446,3.11E-02,-8.61E-02,2.337375423
103.447,3.12E-02,-7.89E-02,2.335831756
103.448,3.13E-02,-7.07E-02,2.334431279
103.449,3.14E-02,-6.17E-02,2.331672935
103.45,0.031496737,-5.16E-02,2.327675465
103.451,3.16E-02,-4.05E-02,2.323552733
103.452,3.18E-02,-2.81E-02,2.31926213
103.453,3.19E-02,-1.42E-02,2.314833459
103.45399,3.21E-02,1.38E-03,2.310254145
103.455,3.22E-02,1.90E-02,2.305486705
103.456,3.24E-02,3.89E-02,2.300522756
103.457,0.032566525,6.16E-02,2.295327606
103.458,3.27E-02,8.74E-02,2.289844444
103.459,0.032890297,0.116473449,2.284018788
103.46,3.30E-02,0.14706573,2.278061584
