Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global RX (Trimaran) [°/s²]
Line B: Structure Acceleration, RAO-Based Response - Global RY (Trimaran) [°/s²]
Line C: Structure Acceleration, RAO-Based Response - Global RZ (Trimaran) [°/s²]

*Time (s),Line A (°/s²),Line B (°/s²),Line C (°/s²)
99.714,-.11947225779295,-.776502847671509,-7.28945583105087E-02
99.715,-.127765730023384,-.755466520786285,-6.90463036298752E-02
99.716,-.135916784405708,-.734799742698669,-6.55960738658905E-02
99.717,-.144193083047867,-.714105010032654,-6.25254660844803E-02
99.718,-.15242925286293,-.693813383579254,-5.98505474627018E-02
99.719,-.160892158746719,-.67353892326355,-5.75579777359962E-02
99.72,-.169429987668991,-.653720796108246,-5.56674040853977E-02
99.721,-.178208708763123,-.634188830852509,-.054176539182663
99.722,-.187394946813583,-.614777028560638,-5.30841313302517E-02
99.723,-.196744114160538,-.596153020858765,-5.24198897182941E-02
99.724,-.206635192036629,-.577748954296112,-5.21679371595383E-02
99.725,-.2169299274683,-.560038030147552,-5.23500181734562E-02
99.726,-.227908849716187,-.542665183544159,-5.29560633003712E-02
99.72701,-.239425286650658,-.526124119758606,-.054004967212677
99.728,-.251649975776672,-.510280251502991,-5.54903037846088E-02
99.729,-.264638245105743,-.495218753814697,-5.74096813797951E-02
99.73,-.278441905975342,-.481022149324417,-5.97569867968559E-02
99.731,-.292982190847397,-.467985421419144,-6.25291615724564E-02
99.732,-.308509469032288,-.455780446529388,-6.56928345561028E-02
99.733,-.324798405170441,-.444896012544632,-6.92411214113235E-02
99.734,-.341946631669998,-.435195505619049,-.073134645819664
99.735,-.359792292118073,-.426931828260422,-7.73437917232513E-02
99.736,-.378512173891068,-.419737875461578,-8.18037614226341E-02
99.737,-.397775292396545,-.414002239704132,-8.64778012037277E-02
99.738,-.417590737342834,-.40949273109436,-9.12942141294479E-02
99.739,-.437826573848724,-.406129598617554,-9.61829349398613E-02
99.74,-.458336919546127,-.403780609369278,-.101067826151848
99.741,-.479527413845062,-.403249084949493,-.104608878493309
99.742,-.500987887382507,-.404579758644104,-.106823898851871
99.743,-.522089242935181,-.406318634748459,-.108918957412243
99.744,-.542667388916016,-.40807768702507,-.110843650996685
99.745,-.562430918216705,-.409587651491165,-.112557768821716
99.746,-.581401646137238,-.410193204879761,-.114000484347343
99.747,-.599465727806091,-.409394830465317,-.115122690796852
99.748,-.616525650024414,-.40667000412941,-.115876138210297
