Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global Z (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²]
Line B: Structure Acceleration, RAO-Based Response - Global RX (Trimaran) [°/s²]

*Time (s),Line A (mm/s²),Line B (°/s²)
99.047,-7.26477010175586,-.507477819919586
99.048,-7.26538756862283,-.470525801181793
99.049,-7.26584205403924,-.433124989271164
99.05,-7.2661298327148,-.396066546440125
99.05099,-7.26629374548793,-.360118687152863
99.05199,-7.26639246568084,-.325979918241501
99.05299,-7.26635148748755,-.294242233037949
99.05399,-7.26620759814978,-.265385955572128
99.055,-7.26597430184484,-.239772692322731
99.056,-7.26561760529876,-.217655822634697
99.057,-7.2651319205761,-.199193045496941
99.058,-7.26455962285399,-.184466555714607
99.059,-7.26379966363311,-.173494592308998
99.06,-7.26288557052612,-.166247546672821
99.061,-7.26174842566252,-.16265070438385
99.062,-7.26030673831701,-.162582963705063
99.063,-7.25853256881237,-.16588269174099
99.064,-7.25723663344979,-.17228128015995
99.06499,-7.25793186575174,-.181411355733871
99.06599,-7.2584948502481,-.193065956234932
99.06699,-7.25882686674595,-.20684489607811
99.06799,-7.25886877626181,-.222279623150826
99.069,-7.25853256881237,-.238836854696274
99.07,-7.25777447223663,-.255937904119492
99.071,-7.2564510628581,-.272965848445892
99.072,-7.25455256178975,-.289297342300415
99.073,-7.25216884166002,-.304323703050613
99.074,-7.24996766075492,-.31718385219574
99.075,-7.24820652976632,-.327368676662445
99.076,-7.24678672850132,-.334685087203979
99.077,-7.24624050781131,-.338765799999237
99.078,-7.24699022248387,-.339297235012054
99.07899,-7.24875461310148,-.33604034781456
99.07999,-7.2421794757247,-.328736931085587
99.08099,-7.23789539188147,-.317702740430832
99.082,-7.23552331328392,-.302938997745514
99.083,-7.234753575176,-.284521341323853
99.084,-7.2351829148829,-.262619405984879
99.085,-7.2365147061646,-.237533673644066
99.086,-7.23846582695842,-.209712356328964
99.087,-7.2374576702714,-.179675579071045
99.088,-7.23397638648748,-.148172587156296
99.089,-7.23121967166662,-.116130866110325
99.09,-7.22903711721301,-8.44473019242287E-02
99.091,-7.22728995606303,-.054002545773983
99.092,-7.22583197057247,-2.56039388477802E-02
99.09299,-7.22463522106409,5.70961128687486E-05
99.09399,-7.22355442121625,2.24363710731268E-02
99.09499,-7.22259236499667,4.11358699202538E-02
99.096,-7.2216559201479,.055889118462801
99.097,-7.2207055054605,6.65582492947578E-02
99.098,-7.21969082951546,7.30927363038063E-02
99.099,-7.21862399950624,7.55261778831482E-02
99.1,-7.21743516623974,7.39610120654106E-02
99.101,-7.21618300303817,6.85626268386841E-02
99.102,-7.21492897719145,5.95649182796478E-02
99.103,-7.21371406689286,4.72769811749458E-02
99.104,-7.21273105591536,3.20900045335293E-02
99.105,-7.21218483522534,1.44848572090268E-02
99.106,-7.21240462735295,-4.9724979326129E-03
99.10699,-7.21387984231114,-2.56359279155731E-02
99.10799,-7.21423933282495,-4.67014461755753E-02
99.10899,-7.20898946747184,-6.72801807522774E-02
99.11,-7.20571493729949,-8.68880525231361E-02
99.111,-7.20484042540193,-.104842014610767
99.112,-7.20640365034342,-.120513819158077
99.113,-7.20988726243377,-.133340939879417
99.114,-7.21246050670743,-.142784729599953
99.115,-7.20995338633657,-.148363783955574
99.116,-7.20831844955683,-.149981141090393
99.117,-7.20721250399947,-.14749975502491
99.118,-7.20629561692476,-.141016617417336
99.119,-7.20547046512365,-.130727842450142
99.12,-7.20463739708066,-.116925597190857
99.12099,-7.20376148819923,-9.99935418367386E-02
99.12199,-7.20280595123768,-8.04075598716736E-02
99.12299,-7.20175867900252,-5.87236061692238E-02
99.124,-7.20064807683229,-3.55653949081898E-02
99.125,-7.19945365563035,-1.15926591679454E-02
99.126,-7.19816936179996,.012513947673142
99.127,-7.19680823385715,3.61038334667683E-02
99.128,-7.19536235556006,5.85737004876137E-02
99.129,-7.19384243711829,7.94004574418068E-02
99.13,-7.19225872308016,9.81511250138283E-02
99.131,-7.19058839604259,.114487484097481
99.132,-7.18886684626341,.128156408667564
99.133,-7.18712573871017,.138990044593811
99.134,-7.18543911352754,.14688216149807
99.13499,-7.18384701758623,.15177746117115
99.13599,-7.18246679753065,.153657779097557
99.13699,-7.18143256381154,.152540057897568
99.138,-7.18031730502844,.14848430454731
99.139,-7.17467069625854,.141711965203285
99.14,-7.16960430145264,.132134020328522
99.141,-7.16537144035101,.11984895914793
99.142,-7.1621029637754,.104981407523155
99.143,-7.15982634574175,8.77054631710052E-02
99.144,-7.15847872197628,6.82386830449104E-02
99.145,-7.15785194188356,4.68556731939316E-02
99.146,-7.15779745951295,2.39069033414125E-02
99.147,-7.15805124491453,-1.91605489817448E-04
99.14799,-7.15824356302619,-2.49581392854452E-02
99.14899,-7.15484004467726,-4.97291125357151E-02
99.14999,-7.15189846232533,-7.41776525974274E-02
99.15099,-7.14931264519691,-9.77860987186432E-02
99.152,-7.146998308599,-.120084546506405
99.153,-7.14490748941898,-.140660673379898
99.154,-7.14291492477059,-.159190624952316
99.155,-7.14103830978274,-.175433203577995
99.156,-7.13924365118146,-.189234018325806
99.157,-7.13748671114445,-.200319230556488
99.158,-7.13574327528477,-.207945078611374
99.159,-7.13403290137649,-.212088853120804
99.16,-7.13235046714544,-.21296314895153
99.161,-7.1306899189949,-.210799336433411
99.16199,-7.1290316991508,-.205829367041588
99.16299,-7.12740048766136,-.19828063249588
99.16399,-7.12578045204282,-.188367739319801
99.16499,-7.12420605123043,-.176289454102516
99.166,-7.12259113788605,-.162223473191261
99.167,-7.12100649252534,-.146327793598175
99.168,-7.11943628266454,-.128732144832611
99.169,-7.11783487349749,-.109539747238159
99.17,-7.11623439565301,-8.88139382004738E-02
99.171,-7.11459806188941,-6.65861815214157E-02
99.172,-7.11296172812581,-4.28349860012531E-02
99.173,-7.11125647649169,-1.74905396997929E-02
99.174,-7.10946694016457,9.57782007753849E-03
99.175,-7.10764667019248,.038573894649744
99.17599,-7.10570206865668,6.97827115654945E-02
99.17699,-7.10362568497658,.103589907288551
99.17799,-7.10139283910394,.140496984124184
99.17899,-7.09899747744203,.181136131286621
99.18,-7.09639210253954,.226278409361839
99.181,-7.09362188354135,.276825964450836
99.182,-7.0909708738327,.333682060241699
99.183,-7.08929495885968,.397438794374466
99.184,-7.09182815626264,.467610329389572
99.185,-7.10030505433679,.541292071342468
99.186,-7.10812676697969,.608085811138153
99.187,-7.11934873834252,.641827583312988
99.188,-7.12357508018613,.618662774562836
99.189,-7.12365051731467,.537558972835541
99.18999,-7.12233036756516,.420682430267334
99.19099,-7.12059577926993,.293730288743973
99.19199,-7.11848447099328,.171995684504509
99.19299,-7.11585395038128,6.10348656773567E-02
99.194,-7.11246905848384,-3.84761244058609E-02
99.195,-7.10809091106057,-.127529844641685
99.196,-7.102538831532,-.207138448953629
99.197,-7.09590082988143,-.277731835842133
99.198,-7.08814617246389,-.340270429849625
99.199,-7.08016892895103,-.396011769771576
99.2,-7.0731220766902,-.445713758468628
99.201,-7.06807477399707,-.489651471376419
99.202,-7.06276018172503,-.527799367904663
99.203,-7.05382321029902,-.559492409229279
99.20399,-7.0478031411767,-.582745850086212
99.20499,-7.0437453687191,-.595649003982544
99.20599,-7.04081542789936,-.596341729164124
99.207,-7.03836232423782,-.583283424377441
99.208,-7.0360885001719,-.555556893348694
99.209,-7.03389756381512,-.513072550296783
99.21,-7.03176157549024,-.456717044115067
99.211,-7.02989753335714,-.388286650180817
99.212,-7.02848332002759,-.31023034453392
99.213,-7.02780764549971,-.225321054458618
99.214,-7.02818902209401,-.136311694979668
99.215,-7.02999765053391,-4.57065999507904E-02
99.216,-7.03368475660682,4.43456433713436E-02
99.217,-7.033069152385,.132604748010635
99.21799,-7.03335180878639,.217143222689629
99.21899,-7.03521817922592,.296425610780716
99.21999,-7.03823287039995,.368982523679733
99.221,-7.04167317599058,.433330744504929
99.222,-7.04474607482553,.488146036863327
99.223,-7.04674888402224,.532492399215698
99.224,-7.04805506393313,.565511882305145
99.225,-7.04874098300934,.586457669734955
99.226,-7.04890582710505,.595011830329895
99.227,-7.04867159947753,.591339886188507
99.228,-7.04812677577138,.576049745082855
99.229,-7.0469630882144,.550128102302551
99.23,-7.04771606251597,.51500141620636
99.231,-7.05205043777823,.47259983420372
99.23199,-7.052734028548,.42477747797966
99.23299,-7.04617332667112,.373862028121948
99.23399,-7.04666879028082,.323505401611328
99.235,-7.0462110452354,.278425127267838
99.236,-7.04203592613339,.245972275733948
99.237,-7.03707151114941,.239381745457649
99.238,-7.03269243240356,.283982992172241
99.239,-7.02940812334418,.411728352308273
99.24,-7.02729728072882,.554962933063507
99.241,-7.02608050778508,.5842005610466
99.242,-7.02549517154694,.571239113807678
99.243,-7.02522322535515,.564329147338867
99.244,-7.02485023066401,.565653920173645
99.245,-7.02380947768688,.570935189723969
99.24599,-7.02145090326667,.576463460922241
99.24699,-7.01721664518118,.579308986663818
99.24799,-7.01061496511102,.577052474021912
99.249,-7.01180612668395,.567342340946198
99.25,-7.01188249513507,.549284100532532
99.251,-7.01005570590496,.522035717964172
99.252,-7.00719561427832,.48594480752945
99.253,-7.00422655791044,.442741125822067
99.254,-7.00178975239396,.395355999469757
99.255,-7.00000813230872,.347584336996078
99.256,-6.99821347370744,.303724706172943
99.257,-6.99484208598733,.268396854400635
99.258,-6.98871118947864,.246695756912231
99.259,-6.98687415570021,.244636401534081
99.25999,-6.98693050071597,.267736613750458
99.26099,-6.98532350361347,.317782998085022
99.26199,-6.98296865448356,.385287523269653
99.263,-6.98016816750169,.448205173015595
99.264,-6.97675999253988,.489789247512817
99.265,-6.972576957196,.510278940200806
99.266,-6.96754362434149,.516872227191925
99.267,-6.96678087115288,.514480590820313
99.268,-6.96621369570494,.505265295505524
99.269,-6.96483952924609,.489514857530594
99.27,-6.96278316900134,.466853141784668
99.271,-6.96029840037227,.436956286430359
99.272,-6.95739965885878,.39995613694191
99.27299,-6.95390673354268,.35735285282135
99.27399,-6.94956863299012,.311851054430008
99.27499,-6.94458372890949,.266978800296783
99.27599,-6.94355182349682,.226676031947136
99.277,-6.94225961342454,.194221690297127
99.278,-6.94023165851831,.172435626387596
99.279,-6.93752802908421,.163503676652908
99.28,-6.93423766642809,.168903380632401
99.281,-6.93023670464754,.189004600048065
99.282,-6.92637171596289,.222268581390381
99.283,-6.92600198090076,.264573484659195
99.284,-6.92514283582568,.309166431427002
99.285,-6.92364946007729,.349477738142014
99.286,-6.92149112001061,.381431221961975
99.28699,-6.91885035485029,.404082477092743
99.28799,-6.91601494327188,.41847950220108
99.28899,-6.91323028877378,.42625492811203
99.28999,-6.91061932593584,.428827166557312
99.291,-6.90766982734203,.427122801542282
99.292,-6.90293870866299,.421545326709747
99.293,-6.89818058162928,.411924570798874
99.294,-6.89943553879857,.397742718458176
99.295,-6.89475797116756,.378818988800049
99.296,-6.88638491556048,.355294704437256
99.297,-6.87755737453699,.327524274587631
99.298,-6.87367795035243,.295954316854477
99.299,-6.86969747766852,.262234151363373
99.3,-6.86590885743499,.228221729397774
99.30099,-6.86247134581208,.196279719471931
99.30199,-6.85938028618693,.168855383992195
99.30299,-6.85656908899546,.148042425513268
99.30399,-6.8540470674634,.135296493768692
99.305,-6.85163680464029,.131381541490555
99.306,-6.84935785830021,.136470660567284
99.307,-6.84705935418606,.150300815701485
99.308,-6.84467190876603,.17230361700058
99.309,-6.84213964268565,.201686546206474
99.31,-6.83946628123522,.237479731440544
99.311,-6.83663273230195,.27853924036026
99.312,-6.83354120701551,.323499321937561
99.313,-6.83009345084429,.370605289936066
99.314,-6.82585407048464,.417148888111115
99.31499,-6.8198898807168,.457539439201355
99.31599,-6.81115640327334,.475478142499924
99.31699,-6.79913349449635,.408765077590942
99.31799,-6.78451638668776,.103701323270798
99.319,-6.76835188642144,-.256382435560226
99.32,-6.75550429150462,-.41208478808403
99.321,-6.74640294164419,-.44979390501976
99.322,-6.74075540155172,-.421948343515396
99.323,-6.73935189843178,-.344234049320221
99.324,-6.74841087311506,-.224156811833382
99.325,-6.77573960274458,-6.87133967876434E-02
99.326,-6.78910315036774,.114820018410683
99.327,-6.78881071507931,.296396106481552
99.328,-6.78331218659878,.42852720618248
