Structure Acceleration, RAO-Based Response,,
Line A: Structure Acceleration, RAO-Based Response - Global RZ (Trimaran) [?s²],,
Line B: Structure Acceleration, RAO-Based Response - Global Y (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²],,
Line C: Structure Acceleration, RAO-Based Response - Global X (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²],,
,,,
*Time (s),Line A (?s?,Line B (mm/s?,Line C (mm/s?
101.484,5.13E-03,-1.66767335,-2.259404166
101.485,5.21E-03,-1.685439143,-2.244955394
101.486,5.28E-03,-1.701385947,-2.231593011
101.487,5.35E-03,-1.71504938,-2.219745889
101.488,5.41E-03,-1.725959824,-2.209834522
101.489,5.47E-03,-1.733631827,-2.202266594
101.49,5.52E-03,-1.737591578,-2.19744863
101.491,5.56E-03,-1.737398212,-2.195794834
101.492,5.59E-03,-1.732590375,-2.197625116
101.493,5.62E-03,-1.722741174,-2.203214681
101.494,5.63E-03,-1.707471209,-2.212788211
101.495,5.63E-03,-1.686414587,-2.226410434
101.496,5.62E-03,-1.659311238,-2.244059928
101.497,5.60E-03,-1.625963254,-2.265571849
101.498,5.57E-03,-1.586329658,-2.29060417
101.499,5.53E-03,-1.540546771,-2.31864443
101.5,5.48E-03,-1.488983631,-2.349021845
101.501,5.42E-03,-1.432301244,-2.380894031
101.502,5.36E-03,-1.371514052,-2.41331826
101.503,5.29E-03,-1.308027888,-2.44521792
101.504,5.21E-03,-1.243678504,-2.475489164
101.505,5.13E-03,-1.180737512,-2.503077965
101.506,5.04E-03,-1.12185406,-2.526949393
101.507,4.94E-03,-1.07003632,-2.54714652
101.508,4.81E-03,-1.028445782,-2.563347807
101.509,4.63E-03,-1.000294462,-2.573962091
101.51,4.40E-03,-0.987828011,-2.578868065
101.511,4.08E-03,-0.992456335,-2.578255255
101.512,3.63E-03,-1.014633104,-2.572585363
101.513,3.01E-03,-1.053678803,-2.562766429
101.514,2.19E-03,-1.107712975,-2.550111152
101.515,1.51E-03,-1.175627229,-2.534920117
101.516,1.50E-03,-1.255283831,-2.516252454
101.517,1.49E-03,-1.333664637,-2.495030174
101.518,1.47E-03,-1.401882735,-2.472835593
101.519,1.46E-03,-1.451443182,-2.453950932
101.52,1.47E-03,-1.474972698,-2.443892416
101.521,1.48E-03,-1.466691028,-2.44718045
101.522,1.50E-03,-1.423083479,-2.465482801
101.52299,1.52E-03,-1.343891956,-2.496433211
101.524,1.56E-03,-1.233486691,-2.533710329
101.525,1.61E-03,-1.10212341,-2.569129458
101.526,1.90E-03,-0.967935834,-2.596627222
101.527,3.21E-03,-0.856724218,-2.61552725
101.528,4.28E-03,-0.779108843,-2.626401372
101.529,4.95E-03,-0.747349812,-2.628298942
101.53,5.19E-03,-0.766029407,-2.61969096
101.531,4.98E-03,-0.829274999,-2.600548556
101.532,4.38E-03,-0.920020742,-2.574113663
101.533,3.50E-03,-1.012922847,-2.547798911
101.534,2.65E-03,-1.079412643,-2.531006001
101.535,2.10E-03,-1.093825675,-2.531964565
101.536,2.03E-03,-1.04122411,-2.553963335
101.53699,2.45E-03,-0.924917869,-2.590755699
101.538,3.24E-03,-0.770487066,-2.628510352
101.539,4.14E-03,-0.621555082,-2.655632561
101.54,4.79E-03,-0.524098286,-2.668608679
101.541,4.97E-03,-0.508834142,-2.668514149
101.542,4.69E-03,-0.576786813,-2.656115917
101.543,4.13E-03,-0.693356502,-2.632858464
101.544,3.62E-03,-0.798079302,-2.607928589
101.545,3.44E-03,-0.829873956,-2.599055413
101.546,3.67E-03,-0.756439753,-2.617181744
101.547,4.16E-03,-0.595261343,-2.651350806
101.548,4.62E-03,-0.41530258,-2.679201774
101.549,4.78E-03,-0.305353955,-2.690997673
101.55,4.63E-03,-0.321313972,-2.689375542
,-9.49E-03,-1.737591578,-3.116938053
,5.63E-03,2.516028006,2.931943163
