Structure Acceleration, RAO-Based Response,,
Line A: Structure Acceleration, RAO-Based Response - Global RZ (Trimaran) [?s²],,
Line B: Structure Acceleration, RAO-Based Response - Global Y (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²],,
Line C: Structure Acceleration, RAO-Based Response - Global X (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²],,
,,,
*Time (s),Line A (?s?,Line B (mm/s?,Line C (mm/s?
102.652,-7.52E-03,0.236333581,1.764963265
102.653,-7.50E-03,0.234593113,1.764258253
102.654,-7.48E-03,0.234352308,1.763440552
102.655,-7.45E-03,0.236048421,1.762481174
102.656,-7.42E-03,0.240334542,1.761275344
102.65701,-7.39E-03,0.248285738,1.759598032
102.658,-7.35E-03,0.261756039,1.757187769
102.659,-7.30E-03,0.284295733,1.753290999
102.66,-7.26E-03,0.32206616,1.746381167
102.661,-7.22E-03,0.385102176,1.733115176
102.662,-7.18E-03,0.524562784,1.695499406
102.663,-7.16E-03,1.247606589,1.26125419
102.664,-7.14E-03,0.293579651,-1.748641953
102.665,-7.12E-03,-2.89E-02,-1.771858311
102.666,-7.11E-03,-0.118578384,-1.767056761
102.667,-7.10E-03,-0.161090953,-1.76260015
102.668,-7.09E-03,-0.186224526,-1.759030623
102.669,-7.07E-03,-0.203011179,-1.756054116
102.67,-7.06E-03,-0.215132197,-1.753506367
102.67101,-7.05E-03,-0.224361705,-1.751223695
102.672,-7.04E-03,-0.231665792,-1.749134623
102.673,-7.03E-03,-0.237627653,-1.747232745
102.674,-7.01E-03,-0.242599068,-1.745421672
102.675,-7.00E-03,-0.246824522,-1.743732952
102.676,-6.99E-03,-0.250462355,-1.742094522
102.677,-6.98E-03,-0.253631442,-1.740514999
102.678,-6.96E-03,-0.256423547,-1.739013009
102.679,-6.95E-03,-0.258904765,-1.737543847
102.68,-6.93E-03,-0.26111753,-1.736111706
102.681,-6.92E-03,-0.263104244,-1.734714839
102.682,-6.90E-03,-0.264900329,-1.733356039
102.683,-6.89E-03,-0.266527903,-1.732017496
102.684,-6.87E-03,-0.268011296,-1.730697579
102.68501,-6.86E-03,-0.269370852,-1.729393844
102.686,-6.84E-03,-0.270620832,-1.728107687
102.687,-6.83E-03,-0.271774421,-1.7268433
102.688,-6.81E-03,-0.272845122,-1.725601498
102.689,-6.80E-03,-0.27384999,-1.724360278
102.69,-6.78E-03,-0.274790393,-1.723139314
102.691,-6.76E-03,-0.275678816,-1.721916604
102.692,-6.75E-03,-0.276520994,-1.720697503
102.693,-6.73E-03,-0.277322397,-1.719486434
102.694,-6.71E-03,-0.278090185,-1.71827618
102.695,-6.70E-03,-0.278826657,-1.717074541
102.696,-6.68E-03,-0.279534695,-1.715883962
102.697,-6.66E-03,-0.280210777,-1.71467464
102.698,-6.65E-03,-0.280859444,-1.713493373
102.69901,-6.63E-03,-0.281479326,-1.712284982
102.7,-6.61E-03,-0.282060326,-1.71110651
102.701,-6.60E-03,-0.282602734,-1.70992082
102.702,-6.58E-03,-0.283098198,-1.708736294
102.703,-6.56E-03,-0.283542584,-1.707574818
102.704,-6.54E-03,-0.28392169,-1.70642219
102.705,-6.53E-03,-0.284225156,-1.705287257
102.706,-6.51E-03,-0.284439884,-1.704156399
102.707,-6.49E-03,-0.284551032,-1.703045215
102.708,-6.47E-03,-0.284541951,-1.701973379
102.709,-6.45E-03,-0.284387672,-1.700904104
102.71,-0.006435911,-0.284074747,-1.699884306
102.711,-6.42E-03,-0.283576868,-1.698913286
102.712,-6.40E-03,-0.282856985,-1.69797102
102.71301,-6.38E-03,-0.281883782,-1.69707241
102.714,-6.36E-03,-0.280610082,-1.696233172
102.715,-6.33E-03,-0.278982072,-1.695475657
102.716,-6.31E-03,-0.276927429,-1.694789156
102.717,-6.29E-03,-0.274343707,-1.694189152
102.718,-6.27E-03,-0.27110253,-1.693718252
102.719,-6.24E-03,-0.267002237,-1.69337634
